Name	Loop Parent / Segment Type	Segment Description	Repeats	Qualifiers	Segment Required	Required Fields	Unused Fields	Syntax Rules
	PER	Billing Provider Contact Information	2	IC	N	"1,3,4"	9	"P0304,P0506,P0708"
2010AB	2000A	PAY-TO ADDRESS NAME	1					
	NM1	Pay-to Address Name	1	87	N	"1,2"	"3,4,5,6,7,8,9,10,11,12"	"P0809,C1110,C1203"
	N3	Pay-to Address - ADDRESS	1		Y	1		
	N4	"Pay-To Address City, State, ZIP Code"	1		Y	1	"5,6"	"E0207,C0605,C0704"
2010AC	2010AB	PAY-TO PLAN NAME	1					
	NM1	Pay-To Plan Name	1	"PE , NM"	N	"1,2,3,8,9"	"4,5,6,7,10,11,12"	"P0809,C1110,C1203"
	N3	Pay-to Plan Address	1		Y	1		
	N4	"Pay-To Plan City, State, ZIP Code"	1		Y	1	"5,6"	"E0207,C0605,C0704"
	REF	Pay-to Plan Secondary Identification	1	"2U ,FY ,NF"	N	"1,2"	"3,4"	R0203
	REF	Pay-To Plan Tax Identification Number	1	EI	Y	"1,2"	"3,4"	R0203
2000B	2010AB	SUBSCRIBER HIERARCHICAL LEVEL	>1					
	HL	Subscriber Hierarchical Level	1	22	Y	"1,2,3,4"		
	SBR	Subscriber Information	1	"A,B,C,D,E,F,G,H,P,S,T, ,U"	Y	1	"6,7,8"	
	PAT	Patient Information	1	D8	N		"1,2,3,4"	"P0506,P0708"
2010BA	2000B	SUBSCRIBER NAME	1					
	NM1	Subscriber Name	1	IL	Y	"1,2,3"	"6,10,11,12"	"P0809,C1110,C1203"
	N3	Subscriber Address	1		N	1		
	N4	"Subscriber City, State, ZIP Code"	1		N	1	"5,6"	"E0207,C0605,C0704"
	DMG	Subscriber Demographic Information	1	D8	N	"1,2,3"	"4,5,6,7,8,9,10,11"	"P0102,P1011,C1105"
	REF	Subscriber Secondary Identification	1	SY	N	"1,2"	"3,4"	R0203
	REF	Property and Casualty Claim Number	1	Y4	N	"1,2"	"3,4"	R0203
	PER	Property and Casualty Subscriber Contact Information	1	IC	N	"1,3,4"	"7,8,9"	"P0304,P0506,P0708"
2010BB	2000B	PAYER NAME	1					
	NM1	Payer Name	1	PR	Y	"1,2,3,8,9"	"4,5,6,7,10,11,12"	"P0809,C1110,C1203"
	N3	Payer Address	1		N	1		
	N4	"Payer City, State, ZIP Code"	1		N	1	"5,6"	"E0207,C0605,C0704"
	REF	Payer Secondary Identification	3	"2U ,EI ,FY ,NF , RE"	N	"1,2"	"3,4"	R0203
	REF	Billing Provider Secondary Identification	2	"G2 ,LU , RE"	N	"1,2"	"3,4"	R0203
2000C	2010BB	PATIENT HIERARCHICAL LEVEL	>1					
	HL	Patient Hierarchical Level	1	23	N	"1,2,3,4"		
	PAT	Patient Information	1	"01,19,20,21,39,40,53,G8"	Y	1	"2,3,4"	"P0506,P0708"
2010CA	2010BB	PATIENT NAME	1					
	NM1	Patient Name	1	QC	Y	"1,2,3"	"6,8,9,10,11,12"	"P0809,C1110,C1203"
	N3	Patient Address	1		Y	1		
	N4	"Patient City, State, ZIP Code"	1		Y	1	"5,6"	"E0207,C0605,C0704"
	DMG	Patient Demographic Information	1	D8	Y	"1,2,3"	"4,5,6,7,8,9,10,11"	"P0102,P1011,C1105"
	REF	Property and Casualty Claim Number	1	Y4	N	"1,2"	"3,4"	R0203
	REF	Property and Casualty Patient Identifier	1	"1W ,SY"	N	"1,2"	"3,4"	R0203
	PER	Property and Casualty Patient Contact Information	1	IC	N	"1,3,4"	"7,8,9"	"P0304,P0506,P0708"
2300	2010BB	CLAIM INFORMATION	100					
	CLM	Claim Information	1	B	Y	"1,2,5,6,7,8,9,10,11,12,15"	"3,4,17,21,22,23,24,25,26,27"	
	DTP	Date - Onset of Current Illness or Symptom	1	431	N	"1,2,3"		
	DTP	Date - Initial Treatment Date	1	454	N	"1,2,3"		
	DTP	Date - Last Seen Date	1	304	N	"1,2,3"		
	DTP	Date - Acute Manifestation	1	453	N	"1,2,3"		
	DTP	Date - Accident	1	439	N	"1,2,3"		
	DTP	Date - Last Menstrual Period	1	484	N	"1,2,3"		
	DTP	Date - Last X-ray Date	1	455	N	"1,2,3"		
	DTP	Date - Hearing and Vision Prescription Date	1	471	N	"1,2,3"		
	DTP	Date - Disability Dates	1	"314,360,361, DT"	N	"1,2,3"		
	DTP	Date - Last Worked	1	297	N	"1,2,3"		
	DTP	Date - Authorized Return to Work	1	296	N	"1,2,3"		
	DTP	Date - Admission	1	435	N	"1,2,3"		
	DTP	Date - Discharge	1	096	N	"1,2,3"		
	DTP	Date - Assumed and Relinquished Care Dates	2	"090,091"	N	"1,2,3"		
	DTP	Date - Property and Casualty Date of First Contact	1	444	N	"1,2,3"		
	DTP	Date - Repricer Received Date	1	050	N	"1,2,3"		
	PWK	Claim Supplemental Information	10	"03,04,05,06,07,08,09,10,11,13,15,21,A3,A4,AM,AS,B2,B3,B4,BR,BS,BT,CB,CK,CT,D2,DA,DB,DG,DJ,DS,EB,HC,HR,I5,IR,LA,M1,MT,NN,OB,OC,OD,OE,OX,OZ,P4,P5,PE,PN,PO,PQ,PY,PZ,RB,RR,RT,RX,SG,V5,XP"	N	"1,2"	"3,4,7,8,9"	P0506
	CN1	Contract Information	1	"01,02,03,04,05,06,09"	N	1		
	AMT	Patient Amount Paid	1	F5	N	"1,2"	3	
	REF	Service Authorization Exception Code	1	4N	N	"1,2"	"3,4"	R0203
	REF	Mandatory Medicare (Section 4081) Crossover Indicator	1	F5	N	"1,2"	"3,4"	R0203
	REF	Mammography Certification Number	1	EW	N	"1,2"	"3,4"	R0203
	REF	Referral Number	1	9F	N	"1,2"	"3,4"	R0203
	REF	Prior Authorization	1	G1	N	"1,2"	"3,4"	R0203
	REF	Payer Claim Control Number	1	F8	N	"1,2"	"3,4"	R0203
	REF	Clinical Laboratory Improvement Amendment (CLIA)	0	"X4 ,CLI"	N	"1,2"	"3,4"	R0203
	REF	Repriced Claim Number	1	9A	N	"1,2"	"3,4"	R0203
	REF	Adjusted Repriced Claim Number	1	9C	N	"1,2"	"3,4"	R0203
	REF	Investigational Device Exemption Number	1	LX	N	"1,2"	"3,4"	R0203
	REF	Claim Identifier For Transmission Intermediaries	1	D9	N	"1,2"	"3,4"	R0203
	REF	Medical Record Number	1	EA	N	"1,2"	"3,4"	R0203
	REF	Demonstration Project Identifier	1	P4	N	"1,2"	"3,4"	R0203
	REF	Care Plan Oversight	1	1J	N	"1,2"	"3,4"	R0203
	K3	File Information	10		N	1	"2,3"	
	NTE	Claim Note	1	"ADD,CER,DCP,DGN,TPO"	N	"1,2"		
	CR1	Ambulance Transport Information	1	LB	N	"4,5,6"	"3,7,8"	"P0102,P0506"
	CR2	Spinal Manipulation Service Information	1	"A,C,D,E,F,G,M"	N	8	"1,2,3,4,5,6,7,9,12"	"P0102,C0403,P0506"
	CRC	Ambulance Certification	3	07	N	"1,2,3"		
	CRC	Patient Condition Information: Vision	3	"E1,E2,E3"	N	"1,2,3"		
	CRC	Homebound Indicator	1	75	N	"1,2,3"	"4,5,6,7"	
	CRC	EPSDT Referral	1	ZZ	N	"1,2,3"	"6,7"	
	HI	Health Care Diagnosis Code	1	"ABK,BK"	Y	"1,2,3,11,12,20,21,29,30,38,39,47,48,56,57,66,67,75,76,84,85,93,94,102,103"	"4,5,6,7,8,9,13,14,15,16,17,18,22,23,24,25,26,27,31,32,33,34,35,36,40,41,42,43,44,45,49,50,51,52,53,54,58,59,60,61,62,63,64,68,69,70,71,72,73,77,78,79,80,81,82,86,87,88,89,90,91,95,96,97,98,99,100,104,105,106,107,108,109"	
	HI	Anesthesia Related Procedure	1	BP	N	"1,2,3,12,13"	"4,5,6,7,8,9,10,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"	
	HI	Condition Information	2	BG	N	"1,2,3,12,13,22,23,32,33,42,43,52,53,62,63,72,73,82,83,92,93,102,103,112,113"	"4,5,6,7,8,9,10,14,15,16,17,18,19,20,24,25,26,27,28,29,30,34,35,36,37,38,39,40,44,45,46,47,48,49,50,54,55,56,57,58,59,60,64,65,66,67,68,69,70,74,75,76,77,78,79,80,84,85,86,87,88,89,90,94,95,96,97,98,99,100,104,105,106,107,108,109,110,114,115,116,117,118,119,120"	
	HCP	Claim Pricing/Repricing Information	1	"00,01,02,03,04,05,07,08,09,10,11,12,13,14"	N	"1,2"	"8,9,10,11,12"	"R0113,P0910,P1112"
2310A	2000B	REFERRING PROVIDER NAME	2					
	NM1	Referring Provider Name	1	"DN ,P3"	N	"1,2,3"	"6,10,11,12"	"P0809,C1110,C1203"
	REF	Referring Provider Secondary Identification	3	"0B ,1G , RE,G2"	N	"1,2"	"3,4"	R0203
2310B	2000B	RENDERING PROVIDER NAME	1					
	NM1	Rendering Provider Name	1	82	N	"1,2,3"	"6,10,11,12"	"P0809,C1110,C1203"
	PRV	Rendering Provider Specialty Information	1	PE	N	"1,2,3"	"4,5,6"	P0203
	REF	Rendering Provider Secondary Identification	4	"0B ,1G ,G2 ,LU"	N	"1,2"	"3,4"	R0203
2310C	2000B	SERVICE FACILITY LOCATION NAME	1					
	NM1	Service Facility Location Name	1	77	N	"1,2,3"	"4,5,6,7,10,11,12"	"P0809,C1110,C1203"
	N3	Service Facility Location Address	1		Y	1		
	N4	"Service Facility Location City, State, ZIP Code"	1		Y	1	"5,6"	"E0207,C0605,C0704"
	REF	Service Facility Location Secondary Identification	3	"0B ,G2 ,LU"	N	"1,2"	"3,4"	R0203
	PER	Service Facility Contact Information	1	IC	N	"1,3,4"	"7,8,9"	"P0304,P0506,P0708"
2310D	2310C	SUPERVISING PROVIDER NAME	1					
	NM1	Supervising Provider Name	1	"DQ , NM"	N	"1,2,3"	"6,10,11,12"	"P0809,C1110,C1203"
	REF	Supervising Provider Secondary Identification	4	"0B ,1G ,G2 ,LU"	N	"1,2"	"3,4"	R0203
2310E	2310D	AMBULANCE PICK-UP LOCATION	1					
	NM1	Ambulance Pick-up Location	1	PW	N	"1,2"	"3,4,5,6,7,8,9,10,11,12"	"P0809,C1110,C1203"
	N3	Ambulance Pick-up Location Address	1		Y	1		
	N4	"Ambulance Pick-up Location City, State, ZIP Code"	1		Y	1	"5,6"	"E0207,C0605,C0704"
2310F	2310E	AMBULANCE DROP-OFF LOCATION	1					
	NM1	Ambulance Drop-off Location	1	"45 , NM"	N	"1,2"	"4,5,6,7,8,9,10,11,12"	"P0809,C1110,C1203"
	N3	Ambulance Drop-off Location Address	1		Y	1		
	N4	"Ambulance Drop-off Location City, State, ZIP Code"	1		Y	1	"5,6"	"E0207,C0605,C0704"
2320	2310C	OTHER SUBSCRIBER INFORMATION	10					
	SBR	Other Subscriber Information	1	"A,B,C,D,E,F,G,H,P,S,T,U"	N	"1,2"	"6,7,8"	
	CAS	Claim Level Adjustments	5	"CO,CR,OA,PI,PR"	N	"1,2,3"		"L050607,C0605,C0705,L080910,C0908,C1008,L111213,C1211,C1311,L141516,C1514,C1614,L171819,C1817,C1917"
	AMT	Coordination of Benefits (COB) Payer Paid Amount	1	D	N	"1,2"	3	
	AMT	Coordination of Benefits (COB) Total Non-Covered	0	A8	N	"1,2"	3	
	AMT	Remaining Patient Liability	1	EAF	N	"1,2"	3	
	OI	Other Insurance Coverage Information	1	"N,W,Y"	Y	"3,6"	"1,2,5"	
	MOA	Outpatient Adjudication Information	1		N			
2330A	2320	OTHER SUBSCRIBER NAME	1					
	NM1	Other Subscriber Name	1	IL	Y	"1,2,3,8,9"	"6,10,11,12"	"P0809,C1110,C1203"
	N3	Other Subscriber Address	1		N	1		
	N4	"Other Subscriber City, State, ZIP Code"	1		N	1	"5,6"	"E0207,C0605,C0704"
	REF	Other Subscriber Secondary Identification	1	SY	N	"1,2"	"3,4"	R0203
2330B	2330A	OTHER PAYER NAME	1					
	NM1	Other Payer Name	1	PR	Y	"1,2,3,8,9"	"4,5,6,7,10,11,12"	"P0809,C1110,C1203"
	N3	Other Payer Address	1		N	1		
	N4	"Other Payer City, State, ZIP Code"	1		N	1	"5,6"	"E0207,C0605,C0704"
	DTP	Claim Check or Remittance Date	1	573	N	"1,2,3"		
	REF	Other Payer Secondary Identifier	2	"2U ,EI ,FY ,NF , RE"	N	"1,2"	"3,4"	R0203
	REF	Other Payer Prior Authorization Number	1	G1	N	"1,2"	"3,4"	R0203
	REF	Other Payer Referral Number	1	9F	N	"1,2"	"3,4"	R0203
	REF	Other Payer Claim Adjustment Indicator	1	T4	N	"1,2"	"3,4"	R0203
	REF	Other Payer Claim Control Number	1	F8	N	"1,2"	"3,4"	R0203
2330C	2310C	OTHER PAYER REFERRING PROVIDER	2					
	NM1	Other Payer Referring Provider	1	"DN ,P3"	N	"1,2"	"3,4,5,6,7,8,9,10,11,12"	"P0809,C1110,C1203"
	REF	Other Payer Referring Provider Secondary Identification	3	"0B ,1G ,G2 , RE"	Y	"1,2"	"3,4"	R0203
2330D	2310C	OTHER PAYER RENDERING PROVIDER	1					
	NM1	Other Payer Rendering Provider	1	82	N	"1,2"	"3,4,5,6,7,8,9,10,11,12"	"P0809,C1110,C1203"
	REF	Other Payer Rendering Provider Secondary Identification	3	"0B ,1G ,G2 ,LU , RE"	Y	"1,2"	"3,4"	R0203
2330E	2310C	OTHER PAYER SERVICE FACILITY LOCATION	1					
	NM1	Other Payer Service Facility Location	1	77	N	"1,2"	"3,4,5,6,7,8,9,10,11,12"	"P0809,C1110,C1203"
	REF	Other Payer Service Facility Location Secondary	0	"0B ,G2 ,LU"	N	"1,2"	"3,4"	R0203
2330F	2310C	OTHER PAYER SUPERVISING PROVIDER	1					
	NM1	Other Payer Supervising Provider	1	DQ	N	"1,2"	"3,4,5,6,7,8,9,10,11,12"	"P0809,C1110,C1203"
	REF	Other Payer Supervising Provider Secondary Identification	3	"0B ,1G ,G2 ,LU"	Y	"1,2"	"3,4"	R0203
2330G	2330F	OTHER PAYER BILLING PROVIDER	1					
	NM1	Other Payer Billing Provider	1	85	N	"1,2"	"3,4,5,6,7,8,9,10,11,12"	"P0809,C1110,C1203"
	REF	Other Payer Billing Provider Secondary Identification	2	"G2 ,LU"	Y	"1,2"	"3,4"	R0203
2400	2330G	SERVICE LINE NUMBER	50					
	LX	Service Line Number	1		Y	1		
	SV1	Professional Service	1	"ER,HC,IV,WK"	Y	"1,2,3,9,10,11,14,15"	"8,13,19,21,24,25,27,28,29,30,31,32"	P0304
	SV5	Durable Medical Equipment Service	1	HC	N	"1,2,3,10,11,12,13,14"	"4,5,6,7,8,9,15"	"R0405,C0604"
	PWK	Line Supplemental Information	10	"03,04,05,06,07,08,09,10,11,13,15,21,A3,A4,AM,AS,B2,B3,B4,BR,BS,BT,CB,CK,CT,D2,DA,DB,DG,DJ,DS,EB,HC,HR,I5,IR,LA,M1,MT,NN,OB,OC,OD,OE,OX,OZ,P4,P5,PE,PN,PO,PQ,PY,PZ,RB,RR,RT,RX,SG,V5,XP"	N	"1,2"	"3,4,7,8,9"	P0506
	PWK	Durable Medical Equipment Certificate of Medical	0	CT	N	"1,2"	"3,4,5,6,7,8,9"	P0506
	CR1	Ambulance Transport Information	1	LB	N	"4,5,6"	"3,7,8"	"P0102,P0506"
	CR3	Durable Medical Equipment Certification	1	"I,R,S"	N	"1,2,3"	"4,5"	P0203
	CRC	Ambulance Certification	3	07	N	"1,2,3"		
	CRC	Hospice Employee Indicator	1	70	N	"1,2,3"	"4,5,6,7"	
	CRC	Condition Indicator/Durable Medical Equipment	1	09	N	"1,2,3"	"5,6,7"	
	DTP	Date - Service Date	1	472	Y	"1,2,3"		
	DTP	Date - Prescription Date	1	471	N	"1,2,3"		
	DTP	DATE - Certification Revision/Recertification Date	1	607	N	"1,2,3"		
	DTP	Date - Begin Therapy Date	1	463	N	"1,2,3"		
	DTP	Date - Last Certification Date	1	461	N	"1,2,3"		
	DTP	Date - Last Seen Date	1	304	N	"1,2,3"		
	DTP	Date - Test Date	2	"738,739"	N	"1,2,3"		
	DTP	Date - Shipped Date	1	011	N	"1,2,3"		
	DTP	Date - Last X-ray Date	1	455	N	"1,2,3"		
	DTP	Date - Initial Treatment Date	1	454	N	"1,2,3"		
	QTY	Ambulance Patient Count	1	PT	N	"1,2"	"3,4"	"R0204,E0204"
	QTY	Obstetric Anesthesia Additional Units	1	FL	N	"1,2"	"3,4"	"R0204,E0204"
	MEA	Test Result	5	"OG,TR"	N	"1,2,3"	"4,5,6,7,8,9,10,11,12"	"R03050608,E0412,L050412,L060412,L07030506,E0803,P1112"
	CN1	Contract Information	1	"01,02,03,04,05,06,09"	N	1		
	REF	Repriced Line Item Reference Number	1	9B	N	"1,2"	"3,4"	R0203
	REF	Adjusted Repriced Line Item Reference Number	1	9D	N	"1,2"	"3,4"	R0203
	REF	Prior Authorization	5	G1	N	"1,2,5,6"	"3,7,8,9,10"	R0203
	REF	Line Item Control Number	1	6R	N	"1,2"	"3,4"	R0203
	REF	Mammography Certification Number	1	EW	N	"1,2"	"3,4"	R0203
	REF	Clinical Laboratory Improvement Amendment (CLIA)	0	X4	N	"1,2"	"3,4"	R0203
	REF	Referring Clinical Laboratory Improvement Amendment	0	F4	N	"1,2"	"3,4"	R0203
	REF	Immunization Batch Number	1	BT	N	"1,2"	"3,4"	R0203
	REF	Referral Number	5	9F	N	"1,2,5,6"	"3,7,8,9,10"	R0203
	AMT	Sales Tax Amount	1	TTa	N	"1,2"	3	
	AMT	Postage Claimed Amount	1	F4	N	"1,2"	3	
	K3	File Information	10		N	1	"2,3"	
	NTE	Line Note	1	"ADD,DCP"	N	"1,2"		
	NTE	Third Party Organization Notes	1	TPO	N	"1,2"		
	PS1	Purchased Service Information	1		N	"1,2"	3	
	HCP	Line Pricing/Repricing Information	1	"00,01,02,03,04,05,06,07,08,09,10,11,12,13,14"	N	"1,2"	8	"R0113,P0910,P1112"
2410	2330G	DRUG IDENTIFICATION	1					
	LIN	Drug Identification	1	"EN,EO,HI,N4,ON,UK,UP"	N	"2,3"	"1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"	"P0405,P0607,P0809,P1011,P1213,P1415,P1617,P1819,P2021,P2223,P2425,P2627,P2829,P3031"
	CTP	Drug Quantity	1	"F2,GR,ME,ML,UN"	Y	"4,5,6"	"1,2,3,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26"	"P0405,C0607,C0902,C1002,C1103"
	REF	Prescription or Compound Drug Association Number	1	"VY ,XZ"	N	"1,2"	"3,4"	R0203
2420A	2330F	RENDERING PROVIDER NAME	1					
	NM1	Rendering Provider Name	1	82	N	"1,2,3"	"6,10,11,12"	"P0809,C1110,C1203"
	PRV	Rendering Provider Specialty Information	1	PE	N	"1,2,3"	"4,5,6"	P0203
	REF	Rendering Provider Secondary Identification	20	"0B ,1G ,G2 ,LU"	N	"1,2,5,6"	"3,7,8,9"	R0203
2420B	2310C	PURCHASED SERVICE PROVIDER NAME	1					
	NM1	Purchased Service Provider Name	1	QB	N	"1,2"	"3,4,5,6,7,10,11,12"	"P0809,C1110,C1203"
	REF	Purchased Service Provider Secondary Identification	20	"0B ,1G , RE,G2"	N	"1,2,5,6"	"3,7,8,9,10"	R0203
2420C	2310C	SERVICE FACILITY LOCATION NAME	1					
	NM1	Service Facility Location Name	1	77	N	"1,2,3"	"4,5,6,7,10,11,12"	"P0809,C1110,C1203"
	N3	Service Facility Location Address	1		Y	1		
	N4	"Service Facility Location City, State, ZIP Code"	1		Y	1	"5,6"	"E0207,C0605,C0704"
	REF	Service Facility Location Secondary Identification	3	"G2 ,LU , RE"	N	"1,2,5,6"	"3,7,8,9,10"	R0203
2420D	2420C	SUPERVISING PROVIDER NAME	1					
	NM1	Supervising Provider Name	1	"DQ , NM"	N	"1,2,3"	"6,10,11,12"	"P0809,C1110,C1203"
	REF	Supervising Provider Secondary Identification	20	"0B ,1G ,G2 ,LU"	N	"1,2,5,6"	"3,7,8,9"	R0203
2420E	2420D	ORDERING PROVIDER NAME	1					
	NM1	Ordering Provider Name	1	DK	N	"1,2,3"	"6,10,11,12"	"P0809,C1110,C1203"
	N3	Ordering Provider Address	1		N	1		
	N4	"Ordering Provider City, State, ZIP Code"	1		N	1	"5,6"	"E0207,C0605,C0704"
	REF	Ordering Provider Secondary Identification	20	"0B ,1G ,G2"	N	"1,2,5,6"	"3,7,8,9,10"	R0203
	PER	Ordering Provider Contact Information	1	IC	N	"1,3,4"	9	"P0304,P0506,P0708"
2420F	2420D	REFERRING PROVIDER NAME	2					
	NM1	Referring Provider Name	1	"DN ,P3"	N	"1,2,3"	"6,10,11,12"	"P0809,C1110,C1203"
	REF	Referring Provider Secondary Identification	20	"0B ,1G ,G2"	N	"1,2,5,6"	"3,7,8,9,10"	R0203
2420G	2420D	AMBULANCE PICK-UP LOCATION	1					
	NM1	Ambulance Pick-up Location	1	PW	N	"1,2"	"3,4,5,6,7,8,9,10,11,12"	"P0809,C1110,C1203"
	N3	Ambulance Pick-up Location Address	1		Y	1		
	N4	"Ambulance Pick-up Location City, State, ZIP Code"	1		Y	1	"5,6"	"E0207,C0605,C0704"
2420H	2420G	AMBULANCE DROP-OFF LOCATION	1					
	NM1	Ambulance Drop-off Location	1	"45 , NM"	N	"1,2"	"4,5,6,7,8,9,10,11,12"	"P0809,C1110,C1203"
	N3	Ambulance Drop-off Location Address	1		Y	1		
	N4	"Ambulance Drop-off Location City, State, ZIP Code"	1		Y	1	"5,6"	"E0207,C0605,C0704"
2430	2420C	LINE ADJUDICATION INFORMATION	15					
	SVD	Line Adjudication Information	1	"ER,HC,IV,WK"	N	"1,2,3,4,5,13"	"11,12"	
	CAS	Line Adjustment	5	"CO,CR,OA,PI,PR, C"	N	"1,2,3"		"L050607,C0605,C0705,L080910,C0908,C1008,L111213,C1211,C1311,L141516,C1514,C1614,L171819,C1817,C1917"
	DTP	Line Check or Remittance Date	1	573	Y	"1,2,3"		
	AMT	Remaining Patient Liability	1	EAF	N	"1,2"	3	
2440	2430	FORM IDENTIFICATION CODE	>1					
	LQ	Form Identification Code	1	"AS ,UT"	N	"1,2"		C0102
	FRM	Supporting Documentation	99	"N,W,Y"	Y	1		R02030405
	SE	Transaction Set Trailer	1		Y	"1,2"		
